Year,Org Name,Org Code,Spec Ed. Grad Rate - Grad Cohort #,Spec Ed. Grad Rate - Grad #,Spec Ed. Grad Rate - Grad %,Spec Ed. Dropout - Enr #,Spec Ed. Dropout - Drop #,Spec Ed. Dropout - Drop %,LRE Ages 6-21 - Students #,LRE Ages 6-21 - Full Incl #,LRE Ages 6-21 - Full Incl %,LRE Ages 3-5 - Students #,LRE Ages 3-5 - Full Incl #,LRE Ages 3-5 - Full Incl %,Cohort Completion Year,Substantial growth of knowledge & skills,Survey Period,Surv Meet Std #,Surv Meet Std %,Sch Yr Rev,# of Students Engaged,Dist Rate
2010,Boxborough,370000,NA,NA,NA,NA,NA,NA,53,31,58.50%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Boxford,380000,NA,NA,NA,NA,NA,NA,125,86,68.80%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Boylston,390000,NA,NA,NA,NA,NA,NA,33,27,81.80%,,,,2009-10,-,Spring 2013,-,-,2010-11,NR,NR
2010,Braintree,400000,76,56,73.70%,205,1,0.50%,993,674,67.90%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Brewster,410000,NA,NA,NA,NA,NA,NA,47,45,95.70%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Brimfield,430000,NA,NA,NA,NA,NA,NA,34,20,58.80%,,,,2009-10,-,Spring 2012,-,-,2009-10,NA,NA
2010,Brockton,440000,161,53,32.90%,445,32,7.20%,2002,1343,67.10%,,,,2009-10,66.7,Fall 2011,-,-,2011-12,NR,NR
2010,Brookfield,450000,NA,NA,NA,NA,NA,NA,35,26,74.30%,,,,2009-10,-,Spring 2012,-,-,2009-10,NA,NA
2010,Brookline,460000,126,101,80.20%,292,5,1.70%,999,642,64.30%,,,,2009-10,50,Spring 2013,-,-,2010-11,NR,NR
2010,Burlington,480000,45,39,86.70%,103,2,1.90%,458,327,71.40%,,,,2009-10,85.7,Spring 2013,-,-,2010-11,NR,NR
2010,Cambridge,490000,113,83,73.50%,272,7,2.60%,1211,859,70.90%,,,,-,N/A,Spring 2012,-,-,2009-10,3,100%
2010,Canton,500000,36,27,75%,92,8,8.70%,423,268,63.40%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Carlisle,510000,NA,NA,NA,NA,NA,NA,85,73,85.90%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Carver,520000,29,15,51.70%,61,3,4.90%,255,133,52.20%,,,,2009-10,100,Spring 2012,-,-,2009-10,8,88.90%
2010,Chatham,550000,8,3,37.50%,21,2,9.50%,83,51,61.40%,,,,2009-10,-,Spring 2013,-,-,2010-11,NR,NR
2010,Chelmsford,560000,72,55,76.40%,189,4,2.10%,758,450,59.40%,,,,2009-10,84,Fall 2011,-,-,2011-12,NR,NR
2010,Chelsea,570000,65,17,26.20%,204,19,9.30%,737,344,46.70%,,,,2009-10,73.7,Spring 2012,-,-,2009-10,2,66.70%
2010,Chicopee,610000,116,42,36.20%,423,37,8.70%,1142,589,51.60%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Clarksburg,630000,NA,NA,NA,NA,NA,NA,32,27,84.40%,,,,-,N/A,Spring 2013,-,-,2010-11,NR,NR
2010,Clinton,640000,33,21,63.60%,89,6,6.70%,313,209,66.80%,,,,2009-10,81.5,Spring 2012,-,-,2009-10,8,80%
2010,Cohasset,650000,14,11,78.60%,35,0,0%,158,133,84.20%,,,,2009-10,71.4,Spring 2013,-,-,2010-11,NR,NR
2010,Concord,670000,0,-,-,NA,NA,NA,346,233,67.30%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Conway,680000,NA,NA,NA,NA,NA,NA,28,17,60.70%,,,,2009-10,-,Spring 2012,-,-,2009-10,NA,NA
2010,Danvers,710000,41,27,65.90%,155,4,2.60%,556,376,67.60%,,,,2009-10,66.7,Spring 2012,-,-,2009-10,5,100%
2010,Dartmouth,720000,39,26,66.70%,113,6,5.30%,470,261,55.50%,,,,2009-10,-,Spring 2013,-,-,2010-11,NR,NR
2010,Dedham,730000,51,32,62.70%,142,1,0.70%,568,369,65%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Deerfield,740000,NA,NA,NA,NA,NA,NA,60,33,55%,,,,-,N/A,Spring 2012,-,-,2009-10,NA,NA
2010,Douglas,770000,17,11,64.70%,59,4,6.80%,259,173,66.80%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Dover,780000,NA,NA,NA,NA,NA,NA,50,45,90%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Dracut,790000,39,24,61.50%,96,7,7.30%,429,262,61.10%,,,,2009-10,51.9,Spring 2012,-,-,2009-10,NA,NA
2010,Duxbury,820000,35,32,91.40%,101,0,0%,389,297,76.30%,,,,2009-10,68.4,Spring 2012,-,-,2009-10,20,100%
2010,East Bridgewater,830000,9,9,100%,51,1,2%,287,209,72.80%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Eastham,850000,NA,NA,NA,NA,NA,NA,34,25,73.50%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Easthampton,860000,28,14,50%,78,2,2.60%,264,150,56.80%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,East Longmeadow,870000,57,51,89.50%,186,2,1.10%,609,399,65.50%,,,,2009-10,100,Spring 2012,-,-,2009-10,23,95.80%
2010,Easton,880000,53,44,83%,148,0,0%,643,475,73.90%,,,,2009-10,0,Fall 2011,-,-,2011-12,NR,NR
2010,Edgartown,890000,NA,NA,NA,NA,NA,NA,50,26,52%,,,,2009-10,-,Spring 2013,-,-,2010-11,NR,NR
2010,Erving,910000,1,-,-,NA,NA,NA,24,18,75%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Everett,930000,114,67,58.80%,235,13,5.50%,891,453,50.80%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Fairhaven,940000,53,23,43.40%,88,6,6.80%,314,258,82.20%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Fall River,950000,136,50,36.80%,440,34,7.70%,1659,1007,60.70%,,,,2009-10,94.4,Spring 2013,-,-,2010-11,NR,NR
2010,Falmouth,960000,59,37,62.70%,125,9,7.20%,592,342,57.80%,,,,2009-10,55.6,Spring 2013,-,-,2010-11,NR,NR
2010,Fitchburg,970000,93,45,48.40%,223,18,8.10%,930,314,33.80%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Florida,980000,NA,NA,NA,NA,NA,NA,25,22,88%,,,,-,N/A,Spring 2013,-,-,2010-11,NR,NR
2010,Foxborough,990000,40,37,92.50%,120,1,0.80%,444,275,61.90%,,,,2009-10,71.4,Spring 2013,-,-,2010-11,NR,NR
2010,Framingham,1000000,136,100,73.50%,363,8,2.20%,1631,828,50.80%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Franklin,1010000,76,65,85.50%,251,6,2.40%,909,582,64%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Freetown,1020000,NA,NA,NA,NA,NA,NA,59,35,59.30%,,,,-,N/A,Spring 2013,-,-,2010-11,NR,NR
2010,Gardner,1030000,45,14,31.10%,96,5,5.20%,440,154,35%,,,,2009-10,71.9,Spring 2013,-,-,2010-11,NR,NR
2010,Georgetown,1050000,20,17,85%,65,1,1.50%,211,178,84.40%,,,,2009-10,-,Spring 2012,-,-,2009-10,6,85.70%
2010,Gloucester,1070000,73,55,75.30%,233,6,2.60%,662,480,72.50%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Gosnold,1090000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Grafton,1100000,32,24,75%,107,5,4.70%,442,170,38.50%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Granby,1110000,23,16,69.60%,57,1,1.80%,174,74,42.50%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Granville,1120000,NA,NA,NA,NA,NA,NA,24,19,79.20%,,,,-,N/A,Spring 2013,-,-,2010-11,NR,NR
2010,Greenfield,1140000,23,9,39.10%,58,5,8.60%,277,72,26%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Hadley,1170000,10,6,60%,22,2,9.10%,72,53,73.60%,,,,2009-10,-,Spring 2011,-,-,2012-13,NR,NR
2010,Halifax,1180000,3,-,-,NA,NA,NA,84,53,63.10%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Hancock,1210000,NA,NA,NA,NA,NA,NA,5,-,-,,,,-,N/A,Spring 2013,-,-,2010-11,NR,NR
2010,Hanover,1220000,34,32,94.10%,94,0,0%,389,294,75.60%,,,,2009-10,62.5,Spring 2011,-,-,2012-13,NR,NR
2010,Harvard,1250000,19,15,78.90%,65,0,0%,195,163,83.60%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Harwich,1260000,14,10,71.40%,43,3,7%,190,124,65.30%,,,,2009-10,16.7,Spring 2011,-,-,2012-13,NR,NR
2010,Hatfield,1270000,13,11,84.60%,21,1,4.80%,66,55,83.30%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Haverhill,1280000,124,49,39.50%,377,1,0.30%,1292,542,42%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Hingham,1310000,27,22,81.50%,136,0,0%,505,415,82.20%,,,,2009-10,61.5,Spring 2012,-,-,2009-10,8,72.70%
2010,Holbrook,1330000,11,3,27.30%,33,1,3%,222,107,48.20%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Holland,1350000,NA,NA,NA,NA,NA,NA,40,12,30%,,,,-,N/A,Spring 2012,-,-,2009-10,NA,NA
2010,Holliston,1360000,42,30,71.40%,135,2,1.50%,437,277,63.40%,,,,2009-10,90,Spring 2013,-,-,2010-11,NR,NR
2010,Holyoke,1370000,113,21,18.60%,407,65,16%,1393,792,56.90%,,,,2009-10,84.8,Spring 2012,-,-,2009-10,7,50%
2010,Hopedale,1380000,18,15,83.30%,65,5,7.70%,197,122,61.90%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Hopkinton,1390000,34,30,88.20%,102,0,0%,413,354,85.70%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Hudson,1410000,57,36,63.20%,143,10,7%,525,353,67.20%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Hull,1420000,13,11,84.60%,53,1,1.90%,170,127,74.70%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Ipswich,1440000,19,17,89.50%,83,1,1.20%,292,172,58.90%,,,,-,N/A,Spring 2013,-,-,2010-11,NR,NR
2010,Kingston,1450000,7,1,14.30%,NA,NA,NA,157,80,51%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Lakeville,1460000,NA,NA,NA,NA,NA,NA,112,84,75%,,,,-,N/A,Spring 2013,-,-,2010-11,NR,NR
2010,Lanesborough,1480000,NA,NA,NA,NA,NA,NA,41,12,29.30%,,,,2009-10,-,Spring 2013,-,-,2010-11,NR,NR
2010,Lawrence,1490000,194,40,20.60%,609,80,13.10%,2270,454,20%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Lee,1500000,15,8,53.30%,39,2,5.10%,95,61,64.20%,,,,2009-10,-,Spring 2012,-,-,2009-10,8,72.70%
2010,Leicester,1510000,28,19,67.90%,69,2,2.90%,290,146,50.30%,,,,2009-10,83.3,Spring 2012,-,-,2009-10,13,76.50%
2010,Lenox,1520000,9,6,66.70%,23,0,0%,72,42,58.30%,,,,2009-10,-,Fall 2011,-,-,2011-12,NR,NR
2010,Leominster,1530000,92,64,69.60%,242,9,3.70%,984,418,42.50%,,,,2009-10,75.7,Spring 2012,-,-,2009-10,27,90%
2010,Leverett,1540000,NA,NA,NA,NA,NA,NA,25,20,80%,,,,2009-10,-,Fall 2011,-,-,2011-12,NR,NR
2010,Lexington,1550000,98,74,75.50%,267,9,3.40%,972,663,68.20%,,,,2009-10,62.5,Spring 2013,-,-,2010-11,NR,NR
2010,Lincoln,1570000,NA,NA,NA,NA,NA,NA,104,89,85.60%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Littleton,1580000,14,10,71.40%,46,1,2.20%,277,204,73.60%,,,,-,N/A,Spring 2013,-,-,2009-10,18,94.70%
2010,Longmeadow,1590000,38,28,73.70%,147,2,1.40%,548,415,75.70%,,,,2009-10,58.3,Fall 2011,-,-,2011-12,NR,NR
2010,Lowell,1600000,108,38,35.20%,372,39,10.50%,1890,1154,61.10%,,,,2009-10,82.9,Spring 2013,-,-,2010-11,NR,NR
2010,Ludlow,1610000,42,29,69%,162,4,2.50%,480,119,24.80%,,,,2009-10,84.6,Spring 2012,-,-,2009-10,17,94.40%
2010,Lunenburg,1620000,19,13,68.40%,56,1,1.80%,222,166,74.80%,,,,2009-10,80,Spring 2013,-,-,2010-11,NR,NR
2010,Lynn,1630000,216,95,44%,567,62,10.90%,2037,542,26.60%,,,,-,N/A,Spring 2012,-,-,2009-10,22,68.80%
2010,Lynnfield,1640000,21,16,76.20%,70,0,0%,267,195,73%,,,,-,N/A,Spring 2013,-,-,2010-11,NR,NR
2010,Malden,1650000,84,38,45.20%,199,17,8.50%,835,485,58.10%,,,,2009-10,60,Spring 2013,-,-,2010-11,NR,NR
2010,Mansfield,1670000,89,68,76.40%,270,0,0%,810,70,8.60%,,,,2009-10,47.2,Spring 2013,-,-,2010-11,NR,NR
2010,Marblehead,1680000,61,50,82%,173,2,1.20%,472,292,61.90%,,,,-,N/A,Spring 2013,-,-,2010-11,NR,NR
2010,Marion,1690000,NA,NA,NA,NA,NA,NA,56,52,92.90%,,,,-,N/A,Spring 2012,-,-,2009-10,NA,NA
2010,Marlborough,1700000,63,38,60.30%,192,6,3.10%,897,499,55.60%,,,,2009-10,72,Spring 2012,-,-,2009-10,35,100%
2010,Marshfield,1710000,63,56,88.90%,199,8,4%,736,481,65.40%,,,,-,N/A,Spring 2013,-,-,2010-11,NR,NR
2010,Mashpee,1720000,44,25,56.80%,64,1,1.60%,271,177,65.30%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Mattapoisett,1730000,1,-,-,NA,NA,NA,65,60,92.30%,,,,-,N/A,Spring 2012,-,-,2009-10,NA,NA
2010,Maynard,1740000,17,13,76.50%,50,1,2%,196,131,66.80%,,,,2009-10,73.1,Spring 2012,-,-,2009-10,0,0%
2010,Medfield,1750000,32,30,93.80%,85,0,0%,343,279,81.30%,,,,2009-10,87.5,Spring 2013,-,-,2010-11,NR,NR
2010,Medford,1760000,106,66,62.30%,265,19,7.20%,858,406,47.30%,,,,2009-10,70,Fall 2011,-,-,2011-12,NR,NR
2010,Medway,1770000,48,42,87.50%,125,0,0%,459,292,63.60%,,,,2009-10,46.4,Fall 2011,-,-,2011-12,NR,NR
2010,Melrose,1780000,41,32,78%,136,1,0.70%,492,321,65.20%,,,,2009-10,86.7,Spring 2013,-,-,2010-11,NR,NR
2010,Methuen,1810000,68,40,58.80%,171,6,3.50%,900,531,59%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Middleborough,1820000,43,21,48.80%,120,2,1.70%,548,395,72.10%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Middleton,1840000,NA,NA,NA,NA,NA,NA,129,61,47.30%,,,,2009-10,-,Fall 2011,-,-,2011-12,NR,NR
2010,Milford,1850000,41,22,53.70%,139,10,7.20%,558,259,46.40%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Millbury,1860000,39,32,82.10%,113,3,2.70%,310,161,51.90%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Millis,1870000,8,3,37.50%,23,2,8.70%,186,157,84.40%,,,,2009-10,50,Spring 2013,-,-,2010-11,NR,NR
2010,Milton,1890000,47,33,70.20%,96,0,0%,527,283,53.70%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Monson,1910000,13,8,61.50%,32,2,6.30%,168,96,57.10%,,,,2009-10,63.6,Spring 2012,-,-,2009-10,0,0%
2010,Nahant,1960000,1,-,-,NA,NA,NA,22,16,72.70%,,,,-,N/A,Spring 2012,-,-,2009-10,NA,NA
2010,Nantucket,1970000,17,11,64.70%,59,0,0%,174,91,52.30%,,,,2009-10,27.3,Spring 2012,-,-,2009-10,7,77.80%
2010,Natick,1980000,75,57,76%,218,6,2.80%,673,407,60.50%,,,,2009-10,62.5,Spring 2012,-,-,2009-10,39,75%
2010,Needham,1990000,57,45,78.90%,196,3,1.50%,678,533,78.60%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,New Bedford,2010000,147,33,22.40%,490,49,10%,2081,1295,62.20%,,,,2009-10,88.6,Spring 2012,-,-,2009-10,5,71.40%
2010,Newburyport,2040000,31,23,74.20%,104,3,2.90%,328,262,79.90%,,,,2009-10,93.8,Spring 2012,-,-,2009-10,0,0%
2011,Revere,2480000,73,35,47.90%,195,13,6.70%,949,385,40.60%,,,,2010-11,86.7,Spring 2012,NA,NA,2009-10,9,81.80%
2010,Newton,2070000,248,207,83.50%,725,6,0.80%,2147,1612,75.10%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Norfolk,2080000,NA,NA,NA,NA,NA,NA,141,122,86.50%,,,,2009-10,35.7,Spring 2013,-,-,2010-11,NR,NR
2010,North Adams,2090000,36,23,63.90%,115,12,10.40%,360,225,62.50%,,,,2009-10,90.5,Spring 2013,-,-,2010-11,NR,NR
2010,Northampton,2100000,52,33,63.50%,124,8,6.50%,534,250,46.80%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,North Andover,2110000,43,35,81.40%,129,0,0%,587,403,68.70%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,North Attleborough,2120000,53,33,62.30%,132,5,3.80%,699,393,56.20%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Northborough,2130000,0,-,-,NA,NA,NA,241,196,81.30%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Northbridge,2140000,23,12,52.20%,81,8,9.90%,353,229,64.90%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,North Brookfield,2150000,1,-,-,18,0,0%,92,50,54.30%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,North Reading,2170000,32,25,78.10%,85,0,0%,381,270,70.90%,,,,2009-10,41.9,Spring 2013,-,-,2010-11,NR,NR
2010,Norton,2180000,42,25,59.50%,103,8,7.80%,475,244,51.40%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Norwell,2190000,37,33,89.20%,80,0,0%,291,268,92.10%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Norwood,2200000,55,41,74.50%,130,2,1.50%,554,308,55.60%,,,,2009-10,69.6,Spring 2013,-,-,2010-11,NR,NR
2010,Oak Bluffs,2210000,NA,NA,NA,NA,NA,NA,75,63,84%,,,,2009-10,-,Spring 2013,-,-,2010-11,NR,NR
2010,Orange,2230000,NA,NA,NA,NA,NA,NA,103,71,68.90%,,,,2009-10,82.4,Spring 2012,-,-,2009-10,NA,NA
2010,Orleans,2240000,NA,NA,NA,NA,NA,NA,35,3,8.60%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Oxford,2260000,33,13,39.40%,85,11,12.90%,280,120,42.90%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Palmer,2270000,39,21,53.80%,58,11,19%,292,126,43.20%,,,,2009-10,52.6,Spring 2012,-,-,2009-10,1,100%
2010,Peabody,2290000,116,63,54.30%,340,18,5.30%,1103,673,61%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Pelham,2300000,NA,NA,NA,NA,NA,NA,29,23,79.30%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Pembroke,2310000,36,29,80.60%,109,1,0.90%,438,310,70.80%,,,,2009-10,88.9,Spring 2013,-,-,2010-11,NR,NR
2010,Petersham,2340000,NA,NA,NA,NA,NA,NA,8,4,50%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Pittsfield,2360000,132,70,53%,357,38,10.60%,912,570,62.50%,,,,2009-10,100,Fall 2011,-,-,2011-12,NR,NR
2010,Plainville,2380000,NA,NA,NA,NA,NA,NA,88,59,67%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Plymouth,2390000,141,112,79.40%,436,21,4.80%,1384,903,65.20%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Plympton,2400000,NA,NA,NA,NA,NA,NA,33,30,90.90%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Provincetown,2420000,7,7,100%,16,0,0%,36,31,86.10%,,,,2009-10,-,Spring 2013,-,-,2010-11,NR,NR
2010,Quincy,2430000,126,81,64.30%,398,27,6.80%,1273,547,43%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Randolph,2440000,49,21,42.90%,107,6,5.60%,543,225,41.40%,,,,2009-10,76.3,Fall 2011,-,-,2011-12,NR,NR
2010,Reading,2460000,88,68,77.30%,226,4,1.80%,727,459,63.10%,,,,2009-10,87.5,Spring 2012,-,-,2009-10,15,93.80%
2010,Revere,2480000,70,20,28.60%,193,17,8.80%,848,287,33.80%,,,,2009-10,91.7,Spring 2012,-,-,2009-10,9,81.80%
2010,Richmond,2490000,NA,NA,NA,NA,NA,NA,15,8,53.30%,,,,-,N/A,Spring 2013,-,-,2010-11,NR,NR
2010,Rochester,2500000,NA,NA,NA,NA,NA,NA,76,69,90.80%,,,,-,N/A,Spring 2012,-,-,2009-10,NA,NA
2010,Rockland,2510000,20,11,55%,56,5,8.90%,335,178,53.10%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Rockport,2520000,29,22,75.90%,70,2,2.90%,185,149,80.50%,,,,2009-10,77.8,Spring 2012,-,-,2009-10,9,100%
2010,Rowe,2530000,NA,NA,NA,NA,NA,NA,7,4,57.10%,,,,-,N/A,Spring 2012,-,-,2009-10,NA,NA
2010,Salem,2580000,84,51,60.70%,269,22,8.20%,1020,600,58.80%,,,,2009-10,91.4,Spring 2013,-,-,2010-11,NR,NR
2010,Sandwich,2610000,44,31,70.50%,147,3,2%,504,340,67.50%,,,,2009-10,71.4,Spring 2012,-,-,2009-10,14,100%
2010,Saugus,2620000,27,12,44.40%,90,5,5.60%,380,224,58.90%,,,,2009-10,66.7,Spring 2013,-,-,2010-11,NR,NR
2010,Savoy,2630000,NA,NA,NA,NA,NA,NA,2,-,-,,,,-,N/A,Spring 2013,-,-,2010-11,NR,NR
2010,Scituate,2640000,34,26,76.50%,99,5,5.10%,355,282,79.40%,,,,2009-10,75.8,Spring 2012,-,-,2009-10,12,100%
2010,Seekonk,2650000,35,24,68.60%,78,1,1.30%,254,93,36.60%,,,,2009-10,-,Spring 2013,-,-,2010-11,NR,NR
2010,Sharon,2660000,39,32,82.10%,121,2,1.70%,472,344,72.90%,,,,2009-10,73.7,Spring 2013,-,-,2010-11,NR,NR
2010,Sherborn,2690000,NA,NA,NA,NA,NA,NA,47,43,91.50%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Shirley,2700000,NA,NA,NA,NA,NA,NA,102,51,50%,,,,2009-10,-,Spring 2013,-,-,2010-11,NR,NR
2010,Shrewsbury,2710000,67,53,79.10%,223,7,3.10%,811,606,74.70%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Shutesbury,2720000,NA,NA,NA,NA,NA,NA,15,10,66.70%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Somerset,2730000,29,22,75.90%,78,1,1.30%,346,223,64.50%,,,,2009-10,56.3,Fall 2011,-,-,2011-12,NR,NR
2010,Somerville,2740000,84,45,53.60%,273,26,9.50%,988,635,64.30%,,,,2009-10,75.9,Spring 2012,-,-,2009-10,3,60%
2010,Southampton,2750000,NA,NA,NA,NA,NA,NA,82,69,84.10%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Southborough,2760000,1,-,-,NA,NA,NA,168,101,60.10%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Southbridge,2770000,28,15,53.60%,67,4,6%,363,237,65.30%,,,,2009-10,43.2,Fall 2011,-,-,2011-12,NR,NR
2010,South Hadley,2780000,42,32,76.20%,99,9,9.10%,295,200,67.80%,,,,-,N/A,Spring 2012,-,-,2009-10,8,72.70%
2010,Springfield,2810000,537,180,33.50%,1781,254,14.30%,5438,1460,26.80%,,,,2009-10,81.3,Spring 2013,-,-,2010-11,NR,NR
2010,Stoneham,2840000,42,34,81%,121,2,1.70%,445,336,75.50%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Stoughton,2850000,54,38,70.40%,165,4,2.40%,597,418,70%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Sturbridge,2870000,NA,NA,NA,NA,NA,NA,99,50,50.50%,,,,2009-10,-,Spring 2012,-,-,2009-10,NA,NA
2010,Sudbury,2880000,NA,NA,NA,NA,NA,NA,399,274,68.70%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Sunderland,2890000,NA,NA,NA,NA,NA,NA,16,6,37.50%,,,,-,N/A,Spring 2012,-,-,2009-10,NA,NA
2010,Sutton,2900000,16,12,75%,40,2,5%,277,204,73.60%,,,,2009-10,100,Spring 2012,-,-,2009-10,3,75%
2010,Swampscott,2910000,41,38,92.70%,102,2,2%,276,174,63%,,,,2009-10,68.4,Spring 2012,-,-,2009-10,19,90.50%
2010,Swansea,2920000,17,15,88.20%,57,1,1.80%,258,163,63.20%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2011,Berlin-Boylston,6200000,12,9,75%,42,1,2.40%,80,40,50%,,,,NA,NA,Spring 2013,NA,NA,2010-11,3,100%
2010,Taunton,2930000,94,38,40.40%,258,26,10.10%,1263,400,31.70%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
2010,Tewksbury,2950000,43,24,55.80%,125,11,8.80%,684,317,46.30%,,,,2009-10,51.9,Spring 2013,-,-,2010-11,NR,NR
2010,Tisbury,2960000,NA,NA,NA,NA,NA,NA,35,30,85.70%,,,,-,N/A,Spring 2013,-,-,2010-11,NR,NR
2010,Topsfield,2980000,NA,NA,NA,NA,NA,NA,92,59,64.10%,,,,2009-10,66.7,Fall 2011,-,-,2011-12,NR,NR
2010,Truro,3000000,NA,NA,NA,NA,NA,NA,18,17,94.40%,,,,2009-10,-,Fall 2011,-,-,2011-12,NR,NR
2010,Tyngsborough,3010000,13,10,76.90%,34,1,2.90%,232,197,84.90%,,,,2009-10,60,Fall 2011,-,-,2011-12,NR,NR
2010,Uxbridge,3040000,21,10,47.60%,55,7,12.70%,270,185,68.50%,,,,-,N/A,Fall 2011,-,-,2011-12,NR,NR
2010,Wakefield,3050000,41,33,80.50%,122,4,3.30%,478,325,68%,,,,-,N/A,Spring 2012,-,-,2009-10,21,84%
2010,Wales,3060000,NA,NA,NA,NA,NA,NA,25,10,40%,,,,2009-10,-,Spring 2012,-,-,2009-10,NA,NA
2010,Walpole,3070000,57,42,73.70%,150,6,4%,536,393,73.30%,,,,2009-10,96.6,Spring 2012,-,-,2009-10,8,80%
2010,Waltham,3080000,114,73,64%,243,27,11.10%,918,184,20%,,,,-,N/A,Spring 2011,-,-,2012-13,NR,NR
